Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
The use and integration of airborne laser scanning and satellite time series data in precision forest management for plantations of fast-growing tree species,Annals of Forest Science,,,,10.1186/s13595-025-01292-9,Gonzalo Gavilan-AcunaNicholas C. CoopsPiotr TompalskiDominik RoeserAndrés Varhola,2025,https://link.springer.com/article/10.1186/s13595-025-01292-9,Article
Forest History and the Present-Day Flora of the Saltykovsky Forest Park (Moscow Suburbs),Moscow University Biological Sciences Bulletin,,,,10.3103/S0096392525601200,E. G. ErshovaV. E. PimenovN. S. GamovaM. A. ErshovaT. P. Ashurkova,2025,https://link.springer.com/article/10.3103/S0096392525601200,Article
Disturbance impacts on ant interactions in different climatic regions,Insectes Sociaux,,,,10.1007/s00040-025-01037-x,N. FernandoN. SchultzG. PalmerP. Barton,2025,https://link.springer.com/article/10.1007/s00040-025-01037-x,Article
Movement behavior in a dominant ungulate underlies successful adjustment to a rapidly changing landscape following megafire,Movement Ecology,,,,10.1186/s40462-024-00488-4,Kendall L. CalhounThomas ConnorKaitlyn M. GaynorAmy Van ScoyocAlex McInturffSamantha E.S. KrelingJustin S. Brashares,2024,https://link.springer.com/article/10.1186/s40462-024-00488-4,Article
Successional pathways after peatland draining: remote sensing and predictive modelling of landscape dynamics,Landscape and Ecological Engineering,,,,10.1007/s11355-025-00696-z,Vladimir IvanovI. A. MilyaevE. A. Soldatova,2026,https://link.springer.com/article/10.1007/s11355-025-00696-z,Article
Historical context and drivers of forest cover change in Wayanad plateau: a key elephant landscape in India’s Western Ghats,Biodiversity and Conservation,,,,10.1007/s10531-025-03037-6,N. R. AnoopAbhishek SamratT. Ganesh,2025,https://link.springer.com/article/10.1007/s10531-025-03037-6,Article
Management of Carolina willow (<i>Salix caroliniana</i>) with herbicides to restore herbaceous marsh,Wetlands Ecology and Management,,,,10.1007/s11273-025-10038-3,Kimberli J. PonzioChristy M. AkersTimothy D. MillerRandal S. SnyderJanice D. Miller,2025,https://link.springer.com/article/10.1007/s11273-025-10038-3,Article
A Review on Fire Protection Systems in Military and Civilian Vehicles,Fire Technology,,,,10.1007/s10694-021-01187-x,Soleh Fajar JunjunanKhaled ChetehounaAxel CabléAntoine OgerNicolas GascoinRomie Oktovianus Bura,2021,https://link.springer.com/article/10.1007/s10694-021-01187-x,Article
Carbon Sequestration and Forest Rotation Age: A Meta-Regression,Forest Science,,,,10.1007/s44391-025-00039-3,Zhuo NingVan ChenChangyou Sun,2025,https://link.springer.com/article/10.1007/s44391-025-00039-3,Article
Community Resilience to Wildfires: A Perspective,"Resilience, Earthquake Engineering and Structural Health Monitoring",,,,10.1007/978-3-032-08407-1_1,Alessandro Cardoni,2025,https://link.springer.com/chapter/10.1007/978-3-032-08407-1_1,Conference paper
A spatially explicit analytical framework to assess wildfire risks on brown bear habitat and corridors in conservation areas,Fire Ecology,,,,10.1186/s42408-021-00125-0,Rasoul KhosraviHamid Reza PourghasemiRoya AdavoudiLeila JulaieHo Yi Wan,2022,https://link.springer.com/article/10.1186/s42408-021-00125-0,Article
Land use-induced soil carbon loss in the dry tropics nearly offsets gains in northern lands,Nature Communications,,,,10.1038/s41467-025-64929-3,Huan WangPhilippe CiaisHui YangPete SmithGiacomo GrassiClemens SchwingshacklPanos PanagosYinon Bar-OnStephen SitchFrédéric ChevallierPaul I. PalmerXiaojun LiSongbai HongJinfeng ChangClément AlbergelLei FanKai WangLaibao LiuFrédéric FrappartJean-Pierre Wigneron,2025,https://link.springer.com/article/10.1038/s41467-025-64929-3,Article
A Density Management Diagram for Pitch Pine to Illustrate Tradeoffs between Carbon and Wildfire Risk,Forest Science,,,,10.1093/forsci/fxad051,Bernard N IsaacsonWilliam E ZipseJason C Grabosky,2024,https://link.springer.com/article/10.1093/forsci/fxad051,Article
A Genetic Algorithm to&#xa0;Optimize the&#xa0;Dispatch of&#xa0;Firefighting Resources,Numerical Computations: Theory and Algorithms,,,,10.1007/978-3-031-81241-5_29,Marina A. MatosRui GonçalvesAna Maria A. C. RochaLino A. CostaFilipe Alvelos,2025,https://link.springer.com/chapter/10.1007/978-3-031-81241-5_29,Conference paper
The Influence of Land Use Alternatives on Traditional Ohlone Floristic Resources,Human Ecology,,,,10.1007/s10745-025-00599-5,Naseem FazeliWill RussellAlan LeventhalMonica V. Arellano,2025,https://link.springer.com/article/10.1007/s10745-025-00599-5,Article
Bellowing for habitat on private land: distribution of koalas in a complex landscape,Landscape Ecology,,,,10.1007/s10980-025-02183-0,Stacey E. HarwoodDesley A. Whisson,2025,https://link.springer.com/article/10.1007/s10980-025-02183-0,Article
Moroccan Dates in a Circle of Danger Due to Successive Oasis Fires,"Intersection of Artificial Intelligence, Data Science, and Cutting-Edge Technologies: From Concepts to Applications in Smart Environment",,,,10.1007/978-3-031-88304-0_93,Manal BenzyaneMourade AzrourSaid Agoujil,2025,https://link.springer.com/chapter/10.1007/978-3-031-88304-0_93,Conference paper
"A Case-Crossover Study of the Impact of the Modifying Industrial Operations Protocol on the Frequency of Industrial Forestry-Caused Wildland Fires in Ontario, Canada","Journal of Agricultural, Biological and Environmental Statistics",,,,10.1007/s13253-022-00497-z,Kevin GranvilleDouglas G. WoolfordC. B. DeanColin B. McFayden,2022,https://link.springer.com/article/10.1007/s13253-022-00497-z,Article
"Presence of asbestos in building materials and soils in postfire areas of Mati, Kineta and Varimbombi in Greece",Environmental Geochemistry and Health,,,,10.1007/s10653-024-02211-z,Fotios  KyriakidisIro DianellouAristofanis VollasMarina AlatzoglouNikolaos GargoulasParaskevi Oikonomou,2024,https://link.springer.com/article/10.1007/s10653-024-02211-z,Article
Numerical modeling of external light gauge steel framed wall systems exposed to bushfire flame zone conditions,Frontiers of Structural and Civil Engineering,,,,10.1007/s11709-024-1106-y,Sahani HendawitharanaAnthony AriyanayagamMahen Mahendran,2024,https://link.springer.com/article/10.1007/s11709-024-1106-y,Article
Environmental indicators combined with risk analysis to evaluate potential wildfire incidence on the Dadu Plateau in Taiwan,Natural Hazards,,,,10.1007/s11069-022-05300-3,Chao-Yuan LinPei-Ying ShiehShao-Wei WuPo-Cheng WangYung-Chau Chen,2022,https://link.springer.com/article/10.1007/s11069-022-05300-3,Article
A centenary tale: population genetic insights into the introduction history of the oriental fire-bellied toad (<i>Bombina orientalis</i>) in Beijing,BMC Ecology and Evolution,,,,10.1186/s12862-022-02072-z,Shan ZhangMeixi LinJiawei LiuJiangce ChenDong LiuJindong ZhaoMeng Yao,2022,https://link.springer.com/article/10.1186/s12862-022-02072-z,Article
Carbon emissions from the peat fire problem—a review,Environmental Science and Pollution Research,,,,10.1007/s11356-021-12886-x,Nor Azizah Che AzmiNazirah Mohd ApandiAhmad Safuan A. Rashid,2021,https://link.springer.com/article/10.1007/s11356-021-12886-x,Article
Historical Species Richness and Present-Day Land Use and Ownership in the Midwestern United States,Human Ecology,,,,10.1007/s10745-025-00657-y,Carolyn A. Copenheaver,2025,https://link.springer.com/article/10.1007/s10745-025-00657-y,Article
A screening system to predict wildfire risk of invasive plants,Biological Invasions,,,,10.1007/s10530-021-02661-x,Kevin FaccendaCurtis C. Daehler,2021,https://link.springer.com/article/10.1007/s10530-021-02661-x,Article
"Evaluation of One Health approach measures implemented in response to the human rabies outbreak in the Maxakali Indigenous Land, Brazil",One Health Outlook,,,,10.1186/s42522-025-00167-3,Dilceu Silveira Tolentino JúniorMaryana Santos Vasconcelos MarquesJomar Otávio Zatti PereiraRoberto Carlos  de Oliveira,2025,https://link.springer.com/article/10.1186/s42522-025-00167-3,Article
Estimating vegetation and litter biomass fractions in rangelands using structure-from-motion and LiDAR datasets from unmanned aerial vehicles,Landscape Ecology,,,,10.1007/s10980-024-01979-w,José Manuel Fernández-GuisuragaLeonor CalvoJosh EnterkineWilliam J. PriceJonathan B. DinkinsK. Scott JensenPeter J. OlsoySergio A. Arispe,2024,https://link.springer.com/article/10.1007/s10980-024-01979-w,Article
Forest fires under the lens: needleleaf index - a novel tool for satellite image analysis,npj Natural Hazards,,,,10.1038/s44304-025-00063-w,Afshin AmiriKeyvan SoltaniSilvio Jose GumiereHossein Bonakdari,2025,https://www.nature.com/articles/s44304-025-00063-w,Article
"Ethnobotany of wild edible plants in Soro District of Hadiya Zone, southern Ethiopia",Journal of Ethnobiology and Ethnomedicine,,,,10.1186/s13002-023-00588-2,Mulatu HankisoBikila WarkinehZemede AsfawAsfaw Debella,2023,https://link.springer.com/article/10.1186/s13002-023-00588-2,Article
The Evolution of Forest Restoration in Europe: A Synthesis for a Step Forward Based on National Expert Knowledge,Current Forestry Reports,,,,10.1007/s40725-024-00235-3,Maitane ErdozainIciar AlberdiRéka AszalósKurt BollmannVassilis DetsisJurij DiaciMartina ĐodanGeorgios EfthimiouLászló GálhidyMarie HaaseJohanna HoffmannDelphine JaymondElisabeth JohannHenrik JørgensenFrank KrummTimo KuuluvainenThibault LachatKatharina LapinMarcus LindnerPalle MadsenLiviu NichiforelMaciej PachYoan PailletCiprian PalaghianuJordi PalauJesús PemánSanja PerićSusanne RaumSilvio SchuelerJerzy SkrzyszewskiJohan SvenssonSander TeeuwenGiorgio VacchianoKris VandekerkhoveIsabel CañellasMaría Menéndez-MiguélezLeland Leland K. WerdenAitor ÀvilaSergio de-Miguel,2024,https://link.springer.com/article/10.1007/s40725-024-00235-3,Article
Geospatial Estimation of Forest Relative Density for Carbon Stewardship Decision Support across the Continental US,Scientific Data,,,,10.1038/s41597-025-06012-6,Emmerson ChivhengeAaron R. WeiskittelChristopher W. WoodallAnthony W. D’AmatoAdam Daigneault,2025,https://link.springer.com/article/10.1038/s41597-025-06012-6,Article
Patterns of post-fire invasion of semiarid shrub-steppe reveals a diversity of invasion niches within an exotic annual grass community,Biological Invasions,,,,10.1007/s10530-021-02669-3,Cara ApplesteinMatthew J. Germino,2021,https://link.springer.com/article/10.1007/s10530-021-02669-3,Article
The “Last-mile Efforts” of Subseasonal Prediction and Services for Climate Resilience and Sustainability: Review and Outlook,Advances in Atmospheric Sciences,,,,10.1007/s00376-025-5256-1,Jing YangMengqian LuAnling LiuTat Fan ChengYuxian PanMiaoni GaoLun DaiShentong LiWen DengXinyao FengShiyu ZhangLu TangLujia ZhangHan LiTao ZhuQing BaoAndrew W. RobertsonTsz-cheung LeeFrederic VitartPing LiangJun JianLinlin PanUpmanu LallStacey NewLei WangQichao YaoXiaolong JiaXi LiangYaochi Su,2026,https://link.springer.com/article/10.1007/s00376-025-5256-1,Article
Established Invasive Tree Species Offer Opportunities for Forest Resilience to Climate Change,Current Forestry Reports,,,,10.1007/s40725-024-00232-6,Bart NyssenJan Den OudenAnja BindewaldPedro BrancalionKlaus KremerKatharina LapinLisa RaatsElisabeth SchatzdorferJohn StanturfKris VerheyenBart Muys,2024,https://link.springer.com/article/10.1007/s40725-024-00232-6,Article
Meta-analysis shows that wild large herbivores shape ecosystem properties and promote spatial heterogeneity,Nature Ecology & Evolution,,,,10.1038/s41559-024-02327-6,Jonas TrepelElizabeth le RouxAndrew J. AbrahamRobert BuitenwerfJohannes KampJeppe A. KristensenMelanie TietjeErick J. LundgrenJens-Christian Svenning,2024,https://link.springer.com/article/10.1038/s41559-024-02327-6,Article
"Osa, wildfires, and me: horse/human entanglements and climate change in the Pacific Northwest",Journal of Environmental Studies and Sciences,,,,10.1007/s13412-025-01082-9,Sarah Riggs Stapleton,2026,https://link.springer.com/article/10.1007/s13412-025-01082-9,Article
Advancing forest carbon projections requires improved convergence between ecological and economic models,Carbon Balance and Management,,,,10.1186/s13021-024-00290-0,Madisen R. FullerManaswini GanjamJustin S. BakerRobert C. Abt,2025,https://link.springer.com/article/10.1186/s13021-024-00290-0,Article
Simulating Evacuation of Humanitarian Settlements,Fire Technology,,,,10.1007/s10694-023-01431-6,Erica D. KuligowskiSteve M. V. GwynneHui XieAaron WestburyDanielle AntonellisChristine Pongratz,2023,https://link.springer.com/article/10.1007/s10694-023-01431-6,Article
Biological invasions limit the effectiveness of land abandonment as a conservation strategy,Landscape Ecology,,,,10.1007/s10980-025-02241-7,Magdalena LendaPiotr SkórkaDorota KotowskaKarolina ChudaXin-Lei GuoDawid MorońHugh P. PossinghamJohannes M. H. Knops,2025,https://link.springer.com/article/10.1007/s10980-025-02241-7,Article
A 30-meter resolution global land productivity dynamics dataset from 2013 to 2022,Scientific Data,,,,10.1038/s41597-025-04883-3,Xiaosong LiTong ShenCesar Luis GarciaIngrid TeichYang ChenJin ChenAmos Tiereyangn Kabo-BahZiyu YangXiaoxia JiaQi LuMandakh Nyamtseren,2025,https://link.springer.com/article/10.1038/s41597-025-04883-3,Article
"Economic Valuation and Community Engagement in Small-Scale Forestry: Conserving Homestead Windbreaks in Shiraho, Ishigaki Island",Small-scale Forestry,,,,10.1007/s11842-025-09590-w,Bixia Chen,2025,https://link.springer.com/article/10.1007/s11842-025-09590-w,Article
Could different structural features affect flammability traits in Mediterranean forest ecosystems?,Trees,,,,10.1007/s00468-024-02513-w,Onofrio CappellutiMario EliaGiovanni Sanesi,2024,https://link.springer.com/article/10.1007/s00468-024-02513-w,Article
Hydrological Drivers and Effects of Wildfire in Mediterranean Rural and Forest Ecosystems: A Mini Review,New Metropolitan Perspectives,,,,10.1007/978-3-031-06825-6_5,Domina DelačBruno Gianmarco CarràManuel Esteban Lucas-BorjaDemetrio Antonio Zema,2022,https://link.springer.com/chapter/10.1007/978-3-031-06825-6_5,Conference paper
"Land use/land cover changes after the decline of mountain chalet farming in the Krkonoše and Hrubý Jeseník Mountains, Czechia, since the mid-20<sup>th</sup> century",Journal of Mountain Science,,,,10.1007/s11629-024-9143-5,Tomáš HejdaLucie KupkováZdeněk Boudný,2025,https://link.springer.com/article/10.1007/s11629-024-9143-5,Article
Impact of charcoal and tree species on forest Podzol development after fire disturbance,Plant and Soil,,,,10.1007/s11104-025-07264-2,Thi Hong Van TranBartłomiej WośTomasz WanicMarcin PietrzykowskiAgnieszka Józefowska,2025,https://link.springer.com/article/10.1007/s11104-025-07264-2,Article
"Vulnerability to extreme weather events: mapping future hazards in Wielkopolska region, Poland",Regional Environmental Change,,,,10.1007/s10113-024-02305-5,Iwona PińskwarAdam ChoryńskiDariusz Graczyk,2024,https://link.springer.com/article/10.1007/s10113-024-02305-5,Article
Deep Residual Multi-resolution Features and Optimized Kernel ELM for Forest Fire Image Detection Using Imbalanced Database,Fire Technology,,,,10.1007/s10694-025-01729-7,Roohum JeganGajanan K. BirajdarSangita Chaudhari,2025,https://link.springer.com/article/10.1007/s10694-025-01729-7,Article
Research and application of deep learning object detection methods for forest fire smoke recognition,Scientific Reports,,,,10.1038/s41598-025-98086-w,Luhao HeYongzhang ZhouLei LiuYuqing ZhangJianhua Ma,2025,https://link.springer.com/article/10.1038/s41598-025-98086-w,Article
Resetting the baseline: using machine learning to find lost meadows,Landscape Ecology,,,,10.1007/s10980-023-01726-7,Adam K. CummingsKaren L. PopeGilbert Mak,2023,https://link.springer.com/article/10.1007/s10980-023-01726-7,Article
A Bayesian approach to exploring the influence of climate variability modes on fire weather conditions and lightning-ignited wildfires,Climate Dynamics,,,,10.1007/s00382-021-05764-2,Bryson C. BatesAndrew J. DowdyLachlan McCaw,2021,https://link.springer.com/article/10.1007/s00382-021-05764-2,Article
Fire frequencies negatively impact soil organic carbon stock in tropical moist deciduous forest communities of Central India,Discover Soil,,,,10.1007/s44378-025-00080-1,Pranab Kumar PatiPriya KaushikDinesh MalasiyaMohammed Latif KhanPramod Kumar Khare,2025,https://link.springer.com/article/10.1007/s44378-025-00080-1,Article
"Assessing Technical Inefficiency in Ecosystem Service Provision from an Input Perspective in the Cross Timbers region, United States",Environmental Management,,,,10.1007/s00267-024-02070-5,Andres SusaetaBrian SancewichHsu KyawIryna McDonaldOmkar Joshi,2024,https://link.springer.com/article/10.1007/s00267-024-02070-5,Article
A simple metric of landscape fire exposure,Landscape Ecology,,,,10.1007/s10980-020-01173-8,Jennifer L. BeverlyNeal McLoughlinElizabeth Chapman,2021,https://link.springer.com/article/10.1007/s10980-020-01173-8,Article
Estimating Forest Fire Damage in Russia in the 21st Century Based on <i>MODIS</i> Burn Intensity Analysis,Cosmic Research,,,,10.1134/S0010952525601975,E. A. LupyanD. V. LozinS. A. BartalevI. V. BalashovF. V. Stytsenko,2025,https://link.springer.com/article/10.1134/S0010952525601975,Article
The effect of soil moisture and ambient temperature on pupation depth for the imperiled <i>Callophrys irus</i>,Journal of Insect Conservation,,,,10.1007/s10841-023-00500-z,Emma N. JonasNelson T. BallRobert T. Meyer,2023,https://link.springer.com/article/10.1007/s10841-023-00500-z,Article
Underutilized wild edible fungi and their undervalued ecosystem services in Africa,CABI Agriculture and Bioscience,,,,10.1186/s43170-023-00145-7,Gudeta W. SileshiDonatha D. TibuhwaAlec Mlambo,2023,https://link.springer.com/article/10.1186/s43170-023-00145-7,Article
Protecting Life and Lung: Protected Areas Affect Fine Particulate Matter and Respiratory Hospitalizations in the Brazilian Amazon Biome,Environmental and Resource Economics,,,,10.1007/s10640-023-00813-2,Derek SheehanKatrina MullanThales A. P. WestErin O. Semmens,2023,https://link.springer.com/article/10.1007/s10640-023-00813-2,Article
Multitemporal lidar captures heterogeneity in fuel loads and consumption on the Kaibab Plateau,Fire Ecology,,,,10.1186/s42408-022-00142-7,Benjamin C. BrightAndrew T. HudakT. Ryan McCarleyAlexander SpannuthNuria Sánchez-LópezRoger D. OttmarAmber J. Soja,2022,https://link.springer.com/article/10.1186/s42408-022-00142-7,Article
On the prevalence of forest fires in Spain,Natural Hazards,,,,10.1007/s11069-022-05384-x,Nicolas Boccard,2022,https://link.springer.com/article/10.1007/s11069-022-05384-x,Article
Combining Participatory Mapping and Geospatial Analysis Techniques to Assess Wildfire Risk in Rural North Vietnam,Environmental Management,,,,10.1007/s00267-021-01582-8,Andrea BartolucciMichele MarconiMichele MagniRoberto PierdiccaFrancesco MalandraTien Chung HoAlessandro VitaliCarlo Urbinati,2022,https://link.springer.com/article/10.1007/s00267-021-01582-8,Article
The Impact of Wildfire Smoke Exposure on Crime,Environmental and Resource Economics,,,,10.1007/s10640-025-01053-2,Goeun LeeSeunghyun Lee,2026,https://link.springer.com/article/10.1007/s10640-025-01053-2,Article
A Qualitative Assessment to Inform Strategic Improvement of Research and Development within the USDA Forest Service,Journal of Forestry,,,,10.1093/jofore/fvad032,S Michelle GreinerCourtney SchultzNathaniel Anderson,2023,https://link.springer.com/article/10.1093/jofore/fvad032,Article
Changes in the non-growing season soil heterotrophic respiration rate are driven by environmental factors after fire in a cold temperate forest ecosystem,Annals of Forest Science,,,,10.1007/s13595-021-01060-5,Tongxin HuHaiqing HuFei LiXu DouLong Sun,2021,https://link.springer.com/article/10.1007/s13595-021-01060-5,Article
The fire environment of five Australian cities,Natural Hazards,,,,10.1007/s11069-024-06975-6,R. J. FenshamA. DowdyZ. C. GriceB. Laffineur,2024,https://link.springer.com/article/10.1007/s11069-024-06975-6,Article
A profile of injuries within an Australian State Emergency Service Agency: a retrospective study,BMC Emergency Medicine,,,,10.1186/s12873-025-01429-z,Graham MarvinElisa F. D. CanettiRob OrrBen Schram,2025,https://link.springer.com/article/10.1186/s12873-025-01429-z,Article
Targeting Sagebrush (<i>Artemisia</i> Spp.) Restoration Following Wildfire with Greater Sage-Grouse (Centrocercus Urophasianus) Nest Selection and Survival Models,Environmental Management,,,,10.1007/s00267-022-01649-0,Cali L. RothShawn T. O’NeilPeter S. CoatesMark A. RiccaDavid A. PykeCameron L. AldridgeJulie A. HeinrichsShawn P. EspinosaDavid J. Delehanty,2022,https://link.springer.com/article/10.1007/s00267-022-01649-0,Article
"Afromontane forests and human impact after the African Humid Period: wood charcoal from the Sodicho rock shelter, SW Ethiopian highlands",Vegetation History and Archaeobotany,,,,10.1007/s00334-023-00977-3,Stéphanie C. BodinKatharina NeumannElena A. HenselRalf VogelsangSebsebe DemissewManuel Casas-GallegoKaren Hahn,2024,https://link.springer.com/article/10.1007/s00334-023-00977-3,Article
Roles of Growth and Yield Models for Informed Forest Management Decisions in the Pacific Northwest United States,Journal of Forestry,,,,10.1007/s44392-025-00041-0,Sukhyun JooHailemariam TemesgenBryce FrankAaron R. WeiskittelDon Reimer,2025,https://link.springer.com/article/10.1007/s44392-025-00041-0,Article
"Wood species diversity, regeneration status and anthropogenic threats in Gewecha natural forest, Northwestern Ethiopia",Discover Plants,,,,10.1007/s44372-025-00166-8,Yirged LibmognHailie Shiferaw WolleEwunetu Tazebew,2025,https://link.springer.com/article/10.1007/s44372-025-00166-8,Article
"Impact of Human-Wildlife Conflict on Human Lives in Tehri District of Uttarakhand (Western Himalayas), India",Biology Bulletin,,,,10.1134/S1062359025602435,Dinesh Chandra BhattVinaya Kumar SethiAshish Kumar AryaHimanshu BargaliArchana BachhetiRomesh Kumar SharmaTribhuwan ChandraVikas SainiMohan Kukreti,2025,https://link.springer.com/article/10.1134/S1062359025602435,Article
Beneath the Flames: Soil Heating Thresholds in Prescribed Wetland Burns,Earth Systems and Environment,,,,10.1007/s41748-025-00806-9,Z. Y. MarchettiL. RodríguezP. MenottiA. CarrascoE. VeizagaE. MassaB. Bilbao,2025,https://link.springer.com/article/10.1007/s41748-025-00806-9,Article
"Organic geochemical evidence of human-controlled fires at Acheulean site of Valdocarros II (Spain, 245 kya)",Scientific Reports,,,,10.1038/s41598-023-32673-7,Lavinia M. StancampianoSusana Rubio-JaraJoaquín PaneraDavid UribelarreaAlfredo Pérez-GonzálezClayton R. Magill,2023,https://link.springer.com/article/10.1038/s41598-023-32673-7,Article
A real-time forecast of tunnel fire based on numerical database and artificial intelligence,Building Simulation,,,,10.1007/s12273-021-0775-x,Xiqiang WuXiaoning ZhangXinyan HuangFu XiaoAsif Usmani,2021,https://link.springer.com/article/10.1007/s12273-021-0775-x,Article
The Effects of Rehabilitation Treatments on Landscape Function Within a Softwood Plantation After Fire: Implications for Catchment Management.,Forest Science,,,,10.1093/forsci/fxab060,Jiyu LiuMatthew J ColloffDavid Freudenberger,2022,https://link.springer.com/article/10.1093/forsci/fxab060,Article
"Fire history and dendroecology of Catoctin Mountain, Maryland, USA, with newspaper corroboration",Fire Ecology,,,,10.1186/s42408-021-00096-2,Lauren F. HowardGabriel D. CahalanKristyn EhlebenBaaqeyah Amala Muhammad ElHope HalzaStephen DeLeon,2021,https://link.springer.com/article/10.1186/s42408-021-00096-2,Article
Forest fire distribution standard in the south of Amazonas state,Natural Hazards,,,,10.1007/s11069-024-07030-0,Natasha Souza Araújo LemosJosé Maurício da CunhaMilton César Costa CamposElilson Gomes de Brito Filho,2024,https://link.springer.com/article/10.1007/s11069-024-07030-0,Article
Influence of fire retardant and pyrogenic carbon on microscale changes in soil nitrogen and phosphorus,Biogeochemistry,,,,10.1007/s10533-020-00746-8,Si GaoThomas H. DeLuca,2021,https://link.springer.com/article/10.1007/s10533-020-00746-8,Article
Drone network for early warning of forest fire and dynamic fire quenching plan generation,EURASIP Journal on Wireless Communications and Networking,,,,10.1186/s13638-023-02320-w,S. ManojC. Valliyammai,2023,https://link.springer.com/article/10.1186/s13638-023-02320-w,Article
Trade-offs and Trait Integration in Tree Phenotypes: Consequences for the Sustainable Use of Genetic Resources,Current Forestry Reports,,,,10.1007/s40725-024-00217-5,Jose ClimentRicardo AlíaKatri KarkkainenCatherine BastienMarta Benito-GarzonLaurent BouffierGiovanbattista De DatoSylvain DelzonArnaud DowkiwMargarita Elvira-RecuencoDelphine GrivetSantiago C. González-MartínezHaleh HayatgheibiSonja KujalaJean-Charles LepléRuth C. Martín-SanzMarina de MiguelM. Cristina MonteverdiSven MutkeChristophe PlomionJosé Alberto Ramírez-ValienteLeopoldo SanchezAida Solé-MedinaJean-Paul SoularueArne SteffenremAngela TeaniJohan WestinRichard WhittetHarry WuRafael ZasStephen Cavers,2024,https://link.springer.com/article/10.1007/s40725-024-00217-5,Article
Uncovering current pyroregions in Italy using wildfire metrics,Ecological Processes,,,,10.1186/s13717-022-00360-6,Mario EliaVincenzo GiannicoDavide AscoliJuan Pablo ArgañarazMarina D’EsteGiuseppina SpanoRaffaele LafortezzaGiovanni Sanesi,2022,https://link.springer.com/article/10.1186/s13717-022-00360-6,Article
Insights into mapping tropical primary wet forests in the Amazon Basin from satellite-based time series metrics of canopy stability,Discover Conservation,,,,10.1007/s44353-025-00023-5,Brendan MackeySonia HughTatiana ShestakovaBrendan M. RogersLudmila Rattis,2025,https://link.springer.com/article/10.1007/s44353-025-00023-5,Article
Fires in coastal wetlands: a review of research trends and management opportunities,Wetlands,,,,10.1007/s13157-022-01576-0,Gerardo Manuel Williams-JaraAlejandro Espinoza-TenorioClaudia Monzón-AlvaradoGregorio Posada-VanegasDulce Infante-Mata,2022,https://link.springer.com/article/10.1007/s13157-022-01576-0,Article
Analyses of LULC dynamics in a socio-ecological system of the Bale Mountains Eco Region of Southeast Ethiopia,Environmental Monitoring and Assessment,,,,10.1007/s10661-024-12671-6,Birhanu AyanaFeyera SenbetaAseffa Seyoum,2024,https://link.springer.com/article/10.1007/s10661-024-12671-6,Article
"Seedling field performance on hot, dry forest restoration sites: influence of plant attributes",New Forests,,,,10.1007/s11056-025-10140-7,Steven C. GrossnickleJoanne E. MacDonald,2026,https://link.springer.com/article/10.1007/s11056-025-10140-7,Article
Regional conservation genomics: insights and opportunities from northern Australia,Biodiversity and Conservation,,,,10.1007/s10531-025-03053-6,Teigan CremonaBrenton von TakachRobyn ShawAlexander CareyBridget CampbellSkye CameronRenee CatulloCaroline ChongSaul CowenDanielle EdwardsEmilie EnsTony GriffithsBrydie HillPeter KriesnerPeter McDonaldEridani MulderEwan NichollJennifer PiersonSally PotterKate RickNatalie RobsonEmily RoycroftShaina RussellThomas SayersLinette UmbrelloSam Banks,2025,https://link.springer.com/article/10.1007/s10531-025-03053-6,Article
Coupling of δ<sup>13</sup>C and δ<sup>15</sup>N to understand soil organic matter sources and C and N cycling under different land-uses and management: a review and data analysis,Biology and Fertility of Soils,,,,10.1007/s00374-022-01668-3,Hyun-Jin ParkNuri BaekSang-Sun LimYoung-Jae JeongBo-Seong SeoJin-Hyeob KwakSang-Mo LeeSeok-In YunHan-Yong KimMuhammad A. ArshadWoo-Jung Choi,2022,https://link.springer.com/article/10.1007/s00374-022-01668-3,Article
Effects of urban sprawl due to migration on spatiotemporal land use-land cover change: a case study of Bartın in Türkiye,Scientific Reports,,,,10.1038/s41598-025-85353-z,Gökhan Şen,2025,https://link.springer.com/article/10.1038/s41598-025-85353-z,Article
A Survey on Fire Alarm Systems: Technological Advancements and Challenges,Smart Trends in Computing and Communications,,,,10.1007/978-981-96-7508-1_29,M. KarthikaK. S. Raghu NandanSalanke Anni RaoS. Ramkumar,2026,https://link.springer.com/chapter/10.1007/978-981-96-7508-1_29,Conference paper
Soil erosion and properties as affected by fire and time after fire events in steep rangelands using <sup>137</sup>Cs technique,Arabian Journal of Geosciences,,,,10.1007/s12517-020-06351-1,Shamsollah AyoubiShirin RabieeMohammad Reza MosaddeghiMohammad Reza AbdiFarideh Abbaszadeh Afshar,2021,https://link.springer.com/article/10.1007/s12517-020-06351-1,Article
State-of-the-Art Status of Google Earth Engine (GEE) Application in Land and Water Resource Management: A Scientometric Analysis,Journal of Geovisualization and Spatial Analysis,,,,10.1007/s41651-025-00218-3,Nishtha SharnagatAnupam Kumar NemaPrabhash Kumar MishraNitesh PatidarRahul KumarAshwini SuryawanshiLakey Radha,2025,https://link.springer.com/article/10.1007/s41651-025-00218-3,Article
Mapping the wildland-urban interface in California using remote sensing data,Scientific Reports,,,,10.1038/s41598-022-09707-7,Shu LiVu DaoMukesh KumarPhu NguyenTirtha Banerjee,2022,https://link.springer.com/article/10.1038/s41598-022-09707-7,Article
