"Document Title",Authors,"Author Affiliations","Publication Title","Date Added To Xplore","Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI","Funding Information","PDF Link","Author Keywords","IEEE Terms","Mesh_Terms","Article Citation Count","Patent Citation Count","Reference Count","License","Online Date","Issue Date","Meeting Date","Publisher","Document Identifier"
"Dead Fuel Moisture Content in Wildfire Propagation Potential Estimation for Split-Dalmatia County","D. Stipaničev; M. Bugarić","Faculty of Electrical Engineering, Machine Engineering and Naval Architecture (FESB), University of Split, Split, Croatia; Faculty of Electrical Engineering, Machine Engineering and Naval Architecture (FESB), University of Split, Split, Croatia",2023 8th International Conference on Smart and Sustainable Technologies (SpliTech),"1 Aug 2023","2023","","","1","6","Wildfire risk is an important measure in wildfire prevention. This paper presents a review and comparison of dead fuel moisture content models used for propagation potential estimation. A statistical analysis of dead fuel moisture content calculated using various models for a case study territory (Split-Dalmatia County in Croatia) is presented, based on weather data of past fires from 2008-2022. The paper concludes with recommendations for the most suitable models for dead fuel moisture calculation for propagation potential estimation.","","978-953-290-128-3","10.23919/SpliTech58164.2023.10192943","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10192943","dead fuel moisture;wildfire;propagation potential;wildfire simulation","Analytical models;Statistical analysis;Moisture;Fires;Estimation;Data models;Fuels","","","","19","","1 Aug 2023","","","IEEE","IEEE Conferences"
"A review of risk assessment of transmission lines under wildfire disaster","B. Zhang; C. Wang; J. Liu; W. Fan","North China Branch of State Grid Corporation of China, Beijing, China; North China Branch of State Grid Corporation of China, Beijing, China; North China Branch of State Grid Corporation of China, Beijing, China; China Electric Power Research Institute, Beijing, China","2024 IEEE 7th Advanced Information Technology, Electronic and Automation Control Conference (IAEAC)","25 Apr 2024","2024","7","","1654","1662","In recent years, the frequent occurrence of wildfire disasters in China has seriously threatened the stable operation of transmission lines. This paper expounds the mechanism of transmission line fault caused by wildfire disaster, introduces a variety of wildfire monitoring and transmission line fault analysis methods, analyzes the technical principles, advantages and disadvantages of transmission line fire risk assessment methods based on BP neural network, naive Bayesian network and analytic hierarchy process, and summarizes and analyzes the advantages and disadvantages of three different assessment methods, so as to improve the risk assessment of transmission lines under wildfire disaster.","2689-6621","979-8-3503-3916-1","10.1109/IAEAC59436.2024.10503948","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10503948","transmission line;wildfire disaster;risk assessment","Analytical models;Power transmission lines;Wildfires;Reviews;Disasters;Neural networks;Process control","","1","","45","IEEE","25 Apr 2024","","","IEEE","IEEE Conferences"
"Leveraging Drone-Assisted Surveillance for Effective Forest Conservation: A Case Study in Australia’s Daintree Rainforest","L. K. B. Melhim; M. Jemmali; W. Boulila; M. Alazab; S. Rani; H. Campbell; H. Amdouni","Department of Health Information Management and Technology, College of Applied Medical Sciences, University of Hafr Al Batin, Hafr Al Batin, Saudi Arabia; Computer Science Department, College of Computing and Informatics, University of Sharjah, Sharjah, UAE; Robotics and Internet of Things Laboratory, Prince Sultan University, Riyadh, Saudi Arabia; IT and Environment, Charles Darwin University, Casuarina, NT, Australia; Chitkara University Institute of Engineering and Technology, Chitkara University, Patiala, Punjab, India; Faculty of Science and Technology, Environmental Science, Charles Darwin University, Casuarina, NT, Australia; Higher School of Economic and Commercial Sciences, University of Tunis, Tunis, Tunisia",IEEE Internet of Things Journal,"24 Sep 2024","2024","11","19","31167","31179","Nowadays, there is global consensus on the threats to forests and their crucial role in mitigating global warming and its impact on Earth’s biodiversity. Both private and public entities, alongside governments, have engaged the most advanced technologies to safeguard and monitor forests against encroachment. This article examines the application of various drone technologies in the surveillance of forest areas. The system described herein employs drones to continuously survey forests, recording any changes, particularly in instances of encroachment or fire. The data captured are transmitted to a control unit for subsequent analysis. To circumvent the risk of task failure due to technical challenges, monitoring tasks within a predefined flight duration are allocated to the available drones. Given the critical nature of timing in the success of these tasks, this study addresses the forest monitoring challenge by seeking to minimize the maximum time required to complete all monitoring tasks. This challenge was addressed through the development of a suite of enhanced algorithms aimed at optimizing task efficiency. The primary goal of the proposed methodology is to afford the monitoring system additional time, thereby enabling the handling of an increased volume of tasks and providing support to firefighting teams in responding to forest fires. The system’s adaptability to new, unforeseen forest fire scenarios through the generation of novel solutions is also discussed. Extensive testing involving 1350 different scenarios has demonstrated the effectiveness of the proposed algorithms in reducing the maximum time needed for the completion of surveillance tasks by drones. The most effective algorithm was the two-group clustering algorithm (TGC), which achieved a success rate of 97.2%, with an average gap of less than 0.001 and an average computation time of 0.016 s. Furthermore, the application of this methodology to a case study of the Daintree Rainforest in Australia showcases the potential and real-world applicability of the proposed system, highlighting its performance and adaptability.","2327-4662","","10.1109/JIOT.2024.3419710","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10572259","Data processing;decision making;drone;fire fighting;information systems;monitoring system","Forestry;Drones;Clustering algorithms;Surveillance;Internet of Things;Global warming;Climate change;Fire safety;Fires;Environmental monitoring","","4","","33","IEEE","26 Jun 2024","","","IEEE","IEEE Journals"
"Review of Wildfire Management Techniques—Part I: Causes, Prevention, Detection, Suppression, and Data Analytics","S. Jazebi; F. de León; A. Nelson","Applied Materials, Santa Clara, USA; Department of Electrical and Computer Engineering, New York University, Brooklyn, USA; Applied Materials, Santa Clara, USA",IEEE Transactions on Power Delivery,"20 Jan 2020","2020","35","1","430","439","This two-part paper is intended to inform power system engineers, electrical engineering academicians, and suppliers of electrical apparatus of the threat of wildfires initiated from mal-operation of electrical grids and the unexploited opportunity to develop proper solutions and preventive means to such lethal events. This part (Part I) reviews and categorizes research in different fields of science and industrial projects that attempt to address wildfire issues. The topics include prediction and prevention means, detection methods, monitoring and surveillance techniques, suppression methods, allocation and mapping algorithms, and a summary of research and educational efforts. Subsequently, this paper highlights the damages and negative effects that a wildfire can cause to the electric grid and the interruptions to its continuous operation. Finally, this paper analyzes and categorizes the various scenarios of faulty electrical networks that may lead to wildfires. Part I of this paper provides the ground work and information for the solutions and discussions presented in Part II.","1937-4208","","10.1109/TPWRD.2019.2930055","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8768218","Bushfires;fault current detection;fault current limiters;high impedance faults;wildfires","Fires;Ignition;Forestry;Lightning;Monitoring;Fuels","","91","","101","IEEE","22 Jul 2019","","","IEEE","IEEE Journals"
"Fire Detection using HSV Color Picker: A Review","A. Adurkar; P. Patel; M. Sabnis; P. Patil","Department of Computer Engineering, K.J. Somaiya Institute of Engineering and Information Technology, Mumbai, India; Department of Computer Engineering, K.J. Somaiya Institute of Engineering and Information Technology, Mumbai, India; Department of Computer Engineering, K.J. Somaiya Institute of Engineering and Information Technology, Mumbai, India; Department of Computer Engineering, K.J. Somaiya Institute of Engineering and Information Technology, Mumbai, India",2022 5th International Conference on Advances in Science and Technology (ICAST),"13 Feb 2023","2022","","","450","455","Massive wildfires are destroying homes and habitats around the world. With wildfires, early detection and prevention become keys to containing the fire. Three days ago, France had to evacuate more than 16,000 people threatened by wildfires in the south-west. There were 1,36,604 fire points in India from January 1 to March 31, 2022, according to the Forest Survey of India (FSI). Our project leverages pioneering AI techniques to detect wildfires at very early stages, way faster than the current systems used. However, we believe that these can be automated with the help of machine learning algorithms. The system will seamlessly detect fire with data from various sources, like IoT devices, satellite data, and data provided by users living nearby the forest. The use of different technologies gives us a unique advantage and helps us detect wildfires faster.","","978-1-6654-9263-8","10.1109/ICAST55766.2022.10039624","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10039624","Forest fire;Machine Learning;HSV colour model algorithm;OpenCV","Satellites;Machine learning algorithms;Image color analysis;Fires;Forestry;Vegetation;Fuels","","2","","13","IEEE","13 Feb 2023","","","IEEE","IEEE Conferences"
"Mapping Wildfire Burned Area Using GNSS-Reflectometry in Densely Vegetated Regions with Complex Topography: A Machine Learning Approach","A. Kannan; A. Melebari; G. Tsagkatakis; K. Nelson; V. Ravindra; S. Nag; M. Moghaddam","Ming Hsieh Department of Electrical and Computer Engineering, University of Southern California, Los Angeles, CA, USA; Ming Hsieh Department of Electrical and Computer Engineering, University of Southern California, Los Angeles, CA, USA; Institute of Computer Science, Foundation for Research and Technology - Hellas (FORTH), Heraklion, Greece; EROS Center at United States Geological Survey, Sioux Falls, SD, United States; Bay Area Environmental Research Institute at NASA Ames Research Centre, Moffett Field, United States; Bay Area Environmental Research Institute at NASA Ames Research Centre, Moffett Field, United States; Ming Hsieh Department of Electrical and Computer Engineering, University of Southern California, Los Angeles, CA, USA",IGARSS 2024 - 2024 IEEE International Geoscience and Remote Sensing Symposium,"5 Sep 2024","2024","","","2072","2076","Accurate assessment of areas burned in wildfires is vital for various monitoring, management, and spread modeling applications. Wildfires, especially in forested regions, pose immense challenges for precise mapping due to the inherent dynamics of fuel types and terrain complexities. While remote sensing, particularly satellite imagery, offers an approach to studying burned areas, reliance on such satellite sources introduces challenges in characterizing burned areas amidst dense vegetation and environmental variations. This paper presents a mapping of forested burned areas utilizing global navigation satellite system–reflectometry (GNSS-R) from Cyclone Global Navigation Satellite System (CYGNSS) with ancillary observations from Soil Moisture Active Passive (SMAP) mission and Shuttle Radar Topography Mission (SRTM) using machine learning approaches. We validate the results with existing burned area products and provide maps of representative California fires within CYGNSS coverage. Assimilation of GNSS-R data into the model provides near real-time and high temporal resolution, enabling rapid response and mitigation efforts to fire events.","2153-7003","979-8-3503-6032-5","10.1109/IGARSS53475.2024.10641487","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10641487","Forest fires;GNSS-Reflectometry;Machine Learning;CYGNSS","Wildfires;Satellites;Accuracy;Spaceborne radar;Vegetation mapping;Forestry;Machine learning","","","","27","IEEE","5 Sep 2024","","","IEEE","IEEE Conferences"
"Estimation of Forest Fuel Load From Radar Remote Sensing","S. Saatchi; K. Halligan; D. G. Despain; R. L. Crabtree","Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, USA; Department of Geography, University of California, Santa Barbara, CA, USA; U.S. Geological Survey, Bozemon, MT, USA; Yellowstone Ecological Research Center, Bozemon, MT, USA",IEEE Transactions on Geoscience and Remote Sensing,"29 May 2007","2007","45","6","1726","1740","Understanding fire behavior characteristics and planning for fire management require maps showing the distribution of wildfire fuel loads at medium to fine spatial resolution across large landscapes. Radar sensors from airborne or spaceborne platforms have the potential of providing quantitative information about the forest structure and biomass components that can be readily translated to meaningful fuel load estimates for fire management. In this paper, we used multifrequency polarimetric synthetic aperture radar (SAR) imagery acquired over a large area of the Yellowstone National Park by the Airborne SAR sensor to estimate the distribution of forest biomass and canopy fuel loads. Semiempirical algorithms were developed to estimate crown and stem biomass and three major fuel load parameters, namely: 1) canopy fuel weight; 2) canopy bulk density; and 3) foliage moisture content. These estimates, when compared directly to measurements made at plot and stand levels, provided more than 70% accuracy and, when partitioned into fuel load classes, provided more than 85% accuracy. Specifically, the radar-generated fuel parameters were in good agreement with the field-based fuel measurements, resulting in coefficients of determination of R2=85 for the canopy fuel weight, R2 =0.84 for canopy bulk density, and R2=0.78 for the foliage biomass","1558-0644","","10.1109/TGRS.2006.887002","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4215087","Canopy bulk density;canopy fuel;forest biomass;polarimetric synthetic aperture radar (SAR);radar;wildfire;Yellowstone National Park (YNP)","Fuels;Radar remote sensing;Biomass;Fires;Spaceborne radar;Biosensors;Synthetic aperture radar;Spatial resolution;Airborne radar;Radar imaging","","171","","51","IEEE","29 May 2007","","","IEEE","IEEE Journals"
"A Survey of Applications of Artificial Neural Networks in Wireless Sensor Networks","F. Aliyu; S. Umar; H. Al-Duwaish","King Fahd Uni. of Petroleum and Min., Dhahran, Saudi Arabia; King Fahd Uni. of Petroleum and Min., Dhahran, Saudi Arabia; King Fahd Uni. of Petroleum and Min., Dhahran, Saudi Arabia",2019 8th International Conference on Modeling Simulation and Applied Optimization (ICMSAO),"24 Oct 2019","2019","","","1","5","Wireless Sensor Network (WSN) is the network nodes with limited resources such as energy, memory and processing power used in sensing an environment. WSNs are known for gathering a large amount of data from the environment. Time, accuracy and proper interpretation of data obtain is of paramount importance. This led some scientists to propose the application of artificial intelligence (AI) techniques in WSN. One AI technique that is widely proposed by researchers is Artificial Neural Networks (ANNs). This is because ANN is applicable to non-linear systems, fault tolerant and adaptive to variation in information. However, ANN is a computationally intensive technique while WSN nodes typically have limited resources and this makes their marriage a challenging one. This paper investigates the techniques used by researchers in deploying ANN in WSN. The paper is limited to applications of ANN in WSN's application layer.","2573-5276","978-1-5386-7684-4","10.1109/ICMSAO.2019.8880364","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8880364","","Wireless sensor networks;Workstations;Sensors;Data aggregation;Computational modeling;Relays;Neurons","","10","","32","Crown","24 Oct 2019","","","IEEE","IEEE Conferences"
"Detection of Fake Hotel Reviews Using ANFIS and Natural Language Processing Techniques","R. K P; M. Prabu Nallasivam; S. G. Rajan C; S. Paul P S; H. K. S; D. V S","Electronics & Communication Engineering, Sri Krishna College of Technology, Coimbatore, India; Electronics & Communication Engineering, Sri Krishna College of Technology, Coimbatore, India; Electrical & Electronics Engineering, Sri Krishna College of Technology, Coimbatore, India; Fire Technology & Safety Engineering, Noorul Islam Centre for Higher Education, Kumaracoil, India; Aircraft Maintenance Engineering, Noorul Islam Centre for Higher Education, Kumaracoil, India; Electronics & Communication Engineering, Jaya Institute of Technology, Chennai, India",2024 7th International Conference on Circuit Power and Computing Technologies (ICCPCT),"16 Sep 2024","2024","1","","265","269","The wide spread of fake reviews presents a considerable threat to the correctness of online review systems which tends to undermining both business reputations and consumer trust. This research introduces an innovative method for identifying fraud hotel reviews through the use of an Adaptive Neuro-Fuzzy Inference System integrated with supervised learning algorithms. By integrating ANFIS with Random Forest, Support Vector Machines and Logistic Regression classifiers, we trained our model on a well-annotated dataset of hotel reviews. Our empirical analysis demonstrates that the ANFIS-based models significantly outperform traditional classifiers in terms of accuracy, recall, precision, F1 score and ROC-AUC metrics. It is observed that the ANFIS-SVM model achieved 92.5% accuracy, 91.8% precision. It also gives 93.2% recall, 92.5% F1 score and an ROC-AUC value of 0.95. These findings underscore the superior performance of our approach in categorizing authentic reviews from fake ones. Also the results show the impact of ANFIS-based models to improve the reliability of online review platforms, ultimately benefiting both businesses and consumers by enhancing the trustworthiness of user-generated content.","","979-8-3503-7281-6","10.1109/ICCPCT61902.2024.10672838","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10672838","Machine Learning;Fake hotel reviews;Natural Language Processing;ANFIS;Deep Learning Models","Support vector machines;Adaptation models;Logistic regression;Accuracy;Reviews;Supervised learning;Natural language processing","","","","16","IEEE","16 Sep 2024","","","IEEE","IEEE Conferences"
"Modeling Remote Sensing Data Relationships with Spatiotemporal Knowledge Graphs","I. Nealey; I. Altintas","Dept. of Computer Science and Engineering, University of California, San Diego, La Jolla, CA, USA; San Diego Supercomputer Center, University of California, San Diego, La Jolla, CA, USA",2025 IEEE International Conference on eScience (eScience),"7 Oct 2025","2025","","","76","83","Understanding spatiotemporal relationships in environmental monitoring is crucial for effective decision making and analysis. In this work, we leverage knowledge graphs (KGs) to model such relationships using measurements collected from field sensors. Specifically, we present datasets from a prescribed fire at Sedgwick Reserve, Santa Barbara, and introduce an ontology that defines key relationships between entities in these datasets. To facilitate data integration and analysis, we developed an ingestion pipeline that structures the information into a KG and facilitates querying along spatial and temporal edges. We evaluate our implementation with two tasks, the ability for spatial relationships to improve vegetation metric prediction, and the use of the inferred relationships between carbon emission data and vegetation metrics to estimate prescribed fire outcomes. Our approach highlights the potential of knowledge graphs in environmental data management, offering a scalable and interactive framework for analysis and decision support.","2325-3703","979-8-3315-9145-8","10.1109/eScience65000.2025.00018","National Science Foundation; University of California; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11181555","Knowledge Graph;Remote Sensing;LiDAR","Measurement;Training;Soft sensors;Decision making;Vegetation mapping;Knowledge graphs;Ontologies;Data models;Spatiotemporal phenomena;Remote sensing","","","","25","IEEE","7 Oct 2025","","","IEEE","IEEE Conferences"
"Multi-UAV Coverage Strategy with V-shaped Formation for Patrol and Surveillance","H. P. Quang; T. Nguyen Dam; V. N. Hoang; H. Pham Duy","VNU University of Engineering and Technology, Hanoi, Vietnam; VNU University of Engineering and Technology, Hanoi, Vietnam; VNU University of Engineering and Technology, Hanoi, Vietnam; VNU University of Engineering and Technology, Hanoi, Vietnam","2022 11th International Conference on Control, Automation and Information Sciences (ICCAIS)","30 Dec 2022","2022","","","487","492","This paper presents a multi-UAV coverage strategy using a V-shaped formation with requirements to maximize the sweep coverage rate and minimize flight time. The leader-follower model-based strategy combines a V-shaped formation control at which behavior-based control is used to allow the UAVs to follow virtual points on a virtual V-shaped structure created by the leader UAV, and an optimal coverage path planner to provide a single path in back-and-forth pattern for the formation. We have evaluated our proposed approach in simulations and achieved high performance in both two the stated metrics.","2475-7896","978-1-6654-5248-9","10.1109/ICCAIS56082.2022.9990236","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9990236","Patrol and Surveillance;Sweep Coverage;V-Shaped Formation;Behavior Control;Back-and-Forth Pattern","Measurement;Automation;Simulation;Surveillance;Formation control;Behavioral sciences;Periodic structures","","3","","12","IEEE","30 Dec 2022","","","IEEE","IEEE Conferences"
"Fractional Forest Cover Changes in Northeast China From 1982 to 2011 and Its Relationship With Climatic Variations","K. Jia; S. Liang; X. Wei; Q. Li; X. Du; B. Jiang; Y. Yao; X. Zhao; Y. Li","State Key Laboratory of Remote Sensing Science, College of Global Change and Earth System Science, Beijing Normal University, Beijing, China; Key Laboratory of Remote Sensing Science, College of Global Change and Earth System Science, Beijing Normal University, Beijing, China; Institute of Remote Sensing and Digital Earth, Chinese Academy of Sciences, Beijing, China; Institute of Remote Sensing and Digital Earth, Chinese Academy of Sciences, Beijing, China; Institute of Remote Sensing and Digital Earth, Chinese Academy of Sciences, Beijing, China; State Key Laboratory of Remote Sensing Science, College of Global Change and Earth System Science, Beijing Normal University, Beijing, China; State Key Laboratory of Remote Sensing Science, College of Global Change and Earth System Science, Beijing Normal University, Beijing, China; State Key Laboratory of Remote Sensing Science, College of Global Change and Earth System Science, Beijing Normal University, Beijing, China; State Key Laboratory of Remote Sensing Science, College of Global Change and Earth System Science, Beijing Normal University, Beijing, China",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,"19 May 2017","2015","8","2","775","783","Forest cover information is essential for natural resource management and for climate change studies. In this paper, the fractional forest cover (FFC) in Northeast China was estimated using neural networks (NNs) based on the Global Inventory Modeling and Mapping Studies (GIMMS3g) Normalized Difference Vegetation Index (NDVI) data with 8-km resolution from 1982 to 2011. Furthermore, the relationship between FFC and two key climatic parameters (temperature and precipitation) was also analyzed. The validation results indicated a satisfactory performance (${\bf {R}}^{\bf {2}} = {\bf {0.81}}$, ${\bf {RMSE}} = {\bf {11.7\%}}$) of the FFC estimation method using NNs and time-series GIMMS3g NDVI data. The temporal and spatial characteristics of FFC changes were analyzed. The forest cover had a slightly decreasing trend during the study period for the entire Northeast China region. However, there were two distinct periods with opposite trends in the FFC change. The FFC had first increased from 1982 to 1998 (${\bf {0.391\%}}\ {\bf {year}}^{{\bf {- 1}}}$), and then decreased from 1998 to 2011 (${\bf {- 0.667\%}}\ {\bf {year}}^{{\bf {- 1}}}$). The correlation analysis between the FFC and the climatic variations suggested that temperature and precipitation were not the decisive factors on controlling FFC changes in most of the Northeast China regions, and active forest disturbance might be the more important factor for FFC change in Northeast China.","2151-1535","","10.1109/JSTARS.2014.2349007","National Natural Science Foundation of China(grant numbers:41301353,41331173); National High Technology Research and Development Program of China(grant numbers:2013AA122801); International S&T Cooperation Program of China(grant numbers:2012DFG21710); Science and Technology Subsidies to Leading Scientists by National Administration of Surveying, Mapping and Geoinformation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6892947","Climate change;forest;fractional forest cover (FFC);neural networks (NNs);Northeast China;Climate change;forest;fractional forest cover (FFC);neural networks (NNs);Northeast China","Meteorology;Remote sensing;Market research;Artificial neural networks;MODIS;Earth;Estimation;Climate change","","21","","51","IEEE","5 Sep 2014","","","IEEE","IEEE Journals"
"Estimating Valley Fever Endemicity with Environmental Parameters","J. Caraccilo; S. Garner; M. Bañuelos","Department of Mathematics, California State University, Fresno, Fresno, USA; Department of Mathematics, California State University, Fresno, Fresno, USA; Department of Mathematics, California State University, Fresno, Fresno, USA","2024 58th Asilomar Conference on Signals, Systems, and Computers","4 Apr 2025","2024","","","1286","1290","Valley Fever is a disease caused and transmitted by the fungi Coccidioides immitis and Coccidioides posadasii. The disease affects the lungs and is endemic in arid regions within the southwest United States. Although studies have been conducted to study disease severity and quantify risk factors, few have focused on creating predictive models aimed at forecasting case occurrences and evolving endemicity of the disease. Valley Fever is not transmitted from person to person, as virtually all transmission occurs from the environment to the host. Thus, we can hypothesize that specific environmental factors and conditions will have measurable impacts on the spread and prevalence of the disease. Using publicly available data from the last two decades, we have developed multiple linear regression, decision trees, and random forest models using parameters such as air quality, precipitation, wildfires, and earthquakes to provide monthly-level predictions of the disease rate across six different counties in Central California. Our goal is to inform future predictions of case occurrences within California's Central Valley and to identify possible parameters based on nonhuman and human that can serve as the basis for future studies. Our findings show that certain parameters, such as those related to fire and air quality, seem to show promise in helping to predict disease cases.","2576-2303","979-8-3503-5405-8","10.1109/IEEECONF60004.2024.10943058","National Science Foundation(grant numbers:HRD-1826490); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10943058","Coccidioidomycosis;Valley Fever;Endemic Disease Rates;Predictive Modeling","Seismic measurements;Wildfires;Precipitation;Atmospheric modeling;Lungs;Linear regression;Predictive models;Air quality;Random forests;Diseases","","","","19","IEEE","4 Apr 2025","","","IEEE","IEEE Conferences"
"Optimization Models of UAV Route Planning For Forest Fire Monitoring","M. Khachumov; V. Khachumov","Intelligent Control Laboratory Ailamazyan Program Systems Institute of RAS, Pereslavl-Zalessky, Russia; Intelligent Control Laboratory Ailamazyan Program Systems Institute of RAS, Pereslavl-Zalessky, Russia",2022 International Russian Automation Conference (RusAutoCon),"27 Sep 2022","2022","","","272","277","This article reviews the literature on modern problems of detecting and extinguishing forest fires using unmanned aerial vehicles. We consider formulation and give solution to the problems of monitoring, flying over territories and extinguishing fires as task of delivering a payload to target points. The expediency of using unmanned aerial vehicles capable to monitor and participate directly in extinguishing fires in the presence of wind loads and impassable obstacles is shown. A heuristic search algorithm is developed that allows planning locally optimal routes for flying around the given area. We consider the route planning problem, which is complicated by the presence of wind flows affecting the speed and trajectory of a UAV. We conduct experimental studies in MATLAB Simulink program simulating the solution to the problem of flying around given area containing obstacles with the use of the mathematical models of a UAV and wind disturbances.","","978-1-6654-6655-4","10.1109/RusAutoCon54946.2022.9896260","Russian Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9896260","monitoring;fire extinguishing;autonomous UAV;route planning;wind disturbances;Hungarian method;modeling","Software packages;Transportation;Forestry;Autonomous aerial vehicles;Search problems;Mathematical models;Planning","","4","","21","IEEE","27 Sep 2022","","","IEEE","IEEE Conferences"
"Advancements in Fire Detection: A Review of Computer Vision and Deep Learning Approaches","A. Antunović; R. Marković; M. Karajko; E. A. Fernández; G. Martinović; I. Aleksi; J. Balen","Faculty of Electrical Engineering, Computer Science and Information Technology, J. J. Strossmayer University of Osijek, Osijek, Croatia; Faculty of Electrical Engineering, Computer Science and Information Technology, J. J. Strossmayer University of Osijek, Osijek, Croatia; Faculty of Electrical Engineering, Computer Science and Information Technology, J. J. Strossmayer University of Osijek, Osijek, Croatia; University of Granada, Granada, Spain; Faculty of Electrical Engineering, Computer Science and Information Technology, J. J. Strossmayer University of Osijek, Osijek, Croatia; Faculty of Electrical Engineering, Computer Science and Information Technology, J. J. Strossmayer University of Osijek, Osijek, Croatia; Faculty of Electrical Engineering, Computer Science and Information Technology, J. J. Strossmayer University of Osijek, Osijek, Croatia",2025 MIPRO 48th ICT and Electronics Convention,"2 Sep 2025","2025","","","50","56","This paper reviews existing research and effort on an important contemporary topic in the field of computer vision. Specifically, it examines current methodologies and algorithms for the fire and smoke detection. As fires are becoming more frequent and spread rapidly, causing substantial material damage andpotentiallyendangeringhumanlives,itisnecessaryto develop technology that can detect fires promptly and notify the relevant authorities. This paper specifically emphasizes the work conducted in the domain of computer vision and deep learning. Additionally, the paper highlights the advantages of using unmanned aerial vehicles equipped with RGB and IR cameras for operations in hard-to-reach fire areas. The implementation of IoT technology enhances the fire detection system since it improves the accuracy of early and real-time fire detection, while also supplying valuable data for subsequent analysis and fire preventive efforts. Despite the many advantages offered by the current technology, due to the unpredictable fire nature and specific machine learning characteristics, there is still room for further progress in this research domain.","1847-3938","979-8-3315-3597-1","10.1109/MIPRO65660.2025.11131704","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11131704","Convolutional Neural Networks (CNN) Model;Computer Vision;Deep-Learning Algorithms;Drones;Fire Detection;Internet of Things (IoT);Real-Time Processing;YOLO Model","Deep learning;Learning systems;YOLO;Computer vision;Reviews;Computational modeling;Feature extraction;Real-time systems;Internet of Things;Convolutional neural networks","","","","44","IEEE","2 Sep 2025","","","IEEE","IEEE Conferences"
"Accord: a programming framework for autonomic applications","Hua Liu; M. Parashar","Xerox Innovation Group, Xerox Corporation, Webster, NY, USA; Applied Software Systems Laboratory, Department of Electrical and Computer Engineering, Rutgers University, Piscataway, NJ, USA","IEEE Transactions on Systems, Man, and Cybernetics, Part C (Applications and Reviews)","8 May 2006","2006","36","3","341","352","The emergence of pervasive wide-area distributed computing environments, such as pervasive information systems and computational grids, has enabled new generations of applications that are based on seamless access, aggregation, and interaction. However, the inherent complexity, heterogeneity, and dynamism of these systems require a change in how the applications are developed and managed. In this paper, we present a programming framework that extends existing programming models/frameworks to support the development of autonomic self-managing applications. The framework enables the development of autonomic elements and the formulation of autonomic applications as the dynamic composition of autonomic elements. The operation of the proposed framework is illustrated using a forest fire management application.","1558-2442","","10.1109/TSMCC.2006.871577","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1629199","Autonomic;dynamic composition;programming framework;self-management","Distributed computing;Crisis management;Management information systems;Grid computing;Pervasive computing;Mesh generation;Disaster management;Fires;Dynamic programming;Application software","","47","","28","IEEE","8 May 2006","","","IEEE","IEEE Journals"
