;22nd congress of the portuguese association of operational research, apdio 2022
;crowd-sourced wildfire spread prediction with remote georeferencing using smartphones
1;current approaches to modelling the spread of wildland fire: a review
;current status of enso prediction skill in coupled ocean-atmosphere models
1;current wildland fire patterns and challenges in europe: a synthesis of national perspectives
;data assimilation for wildland fires
;data injection at execution time in grid environments using dynamic data driven application system for wildland fire spread prediction
;data mining techniques applied to wireless sensor networks for early forest fire detection
;data resolution effects on a coupled data driven system for forest fire propagation prediction
1;data-driven simulations of wildfire spread at regional scales
;data-driven spatio-temporal analysis of wildfire risk to power systems operation
;data-driven wildfire spread modeling of european wildfires using a spatiotemporal graph neural network
;dddas approaches to wildland fire modeling and contaminant tracking
;dead fuel moisture content in wildfire propagation potential estimation for split-dalmatia county
;decadal (2012-2023) account of spatio-temporal variability in satellite-detected biomass fires on indian landmass and their fire radiative power
;decadal predictability and forecast skill
;decadal predictability of soil water, vegetation, and wildfire frequency over north america
;decadal prediction skill in a multi-model ensemble
;decadal prediction skill in the geos-5 forecast system
;decentralized estimation of forest fire spread using reactive and cognitive mobile sensors
;decision methods for forest resource management
;decision support system for forest fire management using ontology with big data and llms
;deep learning and transformer approaches for uav-based wildfire detection and segmentation
1;deep learning approaches for wildland fires using satellite remote sensing data: detection, mapping, and prediction
;deep learning for wildfire risk prediction: integrating remote sensing and environmental data
;deep learning methods for lung cancer detection, classification and prediction-a review
;deep reinforcement learning for optimal firebreak placement in forest fire prevention
;deepfire: a novel dataset and deep transfer learning benchmark for forest fire detection
;defining extreme wildfire events: difficulties, challenges, and impacts
;delft university of technology modeling wildfire spread in wildland-industrial interfaces using dynamic bayesian network
;dengue spread prediction using time series model
;density forecasting of intraday call center arrivals using models based on exponential smoothing
;deploying wildland fire suppression resources with a scenario-based standard response model
;derivation of a bayesian fire spread model using large-scale wildfire observations
;deriving forest fire ignition risk with biogeochemical process modelling
1;describing wildland surface fuel loading for fire management: a review of approaches, methods and systems
;design of a zero-power forest fire suppression product interaction system
;design of multi-data sources based forest fire monitoring and early warning system
;designing operationally relevant daily large fire containment strategies using risk assessment results
;detecting critical nodes in forest landscape networks to reduce wildfire spread
;detection of fake hotel reviews using anfis and natural language processing techniques
;detection of forest fire using deep convolutional neural networks with transfer learning approach▪
1;detection, emission estimation and risk prediction of forest fires in china using satellite sensors and simulation models in the past three decades-an overview
;determination of forest fire risk with fuzzy analytic hierarchy process and its mapping with the application of gis: the case of turkey/çakırlar
;determination of the power transmission line ageing failure probability due to the impact of forest fire
;developing a disaster-ready power grid agent through geophysically-informed fault event scenarios
;developing the us wildland fire decision support system
;development and application of process-based simulation models for cotton production: a review of past, present, and future directions
;development and structure of prometheus: the canadian wildland fire growth simulation model
;development of a smoke dispersion forecast system for korean forest fires
;devs-fire: design and application of formal discrete event wildfire spread and suppression models
;devs-fire: towards an integrated simulation environment for surface wildfire spread and containment
;different responses of pinus sylvestris l. and larix decidua mill. to forest fire in central england (uk)
;different scales for studying the effectiveness of long-term forest fire retardants
;differential impacts of a wildfire and post-fire sedimentation event on platypus and fish populations in a victorian upland river
;digital soil mapping for fire prediction and management in rangelands
;dionysus: a stochastic fire growth scenario generator
;discrete wildfire simulation case study
1;distance in the forest fire model how far are you from eve?
;distributed spacecraft with heuristic intelligence to monitor wildfire spread for responsive control
;distributed wildfire surveillance with autonomous aircraft using deep reinforcement learning
;distribution patterns of fire regime in the pendjari biosphere reserve, west africa
;disturbance refugia within mosaics of forest fire, drought, and insect outbreaks
;disturbances and the sustainability of long-term site productivity in lodgepole pine forests in the central interior of british columbia-an ecosystem modeling approach
;diverging rationalities between forest fire management services and the general public after the 21st-century mega-fires in greece
;dmpnet: a lightweight remote sensing forest wildfire detection network based on multi-scale heterogeneous attention mechanism and dynamic scaling fusion strategy
;do thinning and/or burning treatments in western usa ponderosa or jeffrey pine-dominated forests help restore natural fire behavior?
;do vegetation fuel reduction treatments alter forest fire severity and carbon stability in california forests?
;does it make sense to restore wildland fire in changing climate?
;does wildfire exposure influence corporate disaster preparedness? a study of natural resources extraction firms in canada
;dome: drone-assisted monitoring of emergent events for wildland fire resilience
;doppler lidar observations of russian forest fire plumes over helsinki
;drought and fire in the western usa: is climate attribution enough?
;dynamic correction of forest fire spread prediction using observation error covariance matrix estimation technique based on flc-gru
;dynamic fire-atmosphere interaction in the 2020 montana bridger foothills wildfire as revealed by wrf-sfire simulations
;dynamic load determination of a multi-purpose forest fire fighting vehicle when operating on forestry road
;dynamic properties of a forest fire model
;dynamic risk assessment of wildfire-induced transmission line breakdown based on data assimilation method
;dynamic simulation of fire propagation in forests and rangelands using a gis-based cellular automata model
;dynamic uav path planning under wildfire scenarios using ppo algorithm
;dynamics monitoring and disaster assessment for watershed management using time-series satellite images
;early adaptive evaluation scheme for data-driven calibration in forest fire spread prediction
;early detection of forest fire using mixed learning techniques and uav
1;early warning systems: enhancing fire prediction and response
;ecology of fire-dependent ecosystems: wildland fire science, policy and management
;edgefiresmoke++: a novel lightweight algorithm for real-time forest fire detection and visualization using internet of things-human machine interface
;edif: boosting unsupervised cross-domain forest fire smoke detection with enhanced domain-invariant features
;eeffl: energy efficient data forwarding for forest fire detection using localization technique in wireless sensor network
;effect of forest fire prevention treatments on bacterial communities associated with productive boletus edulis sites
;effect of forest fire suppression on buff-breasted flycatchers
;effect of weather forecast errors on fire growth model projections
;effects of agricultural land-use change and forest fire on n2o emission from tropical peatlands, central kalimantan, indonesia
;effects of an intense prescribed forest fire: is it ecological restoration?
;effects of bark beetle-caused tree mortality on wildfire
;effects of biotic feedback and harvest management on boreal forest fire activity under climate change
;effects of climate oscillations on wildland fire potential in the continental united states
;effects of fire and fire-induced changes in soil properties on post-burn soil respiration
;effects of forest fire on headwater stream macroinvertebrate communities in eastern washington, u.s.a
;effects of high-density gradients on wildland fire behavior in coupled atmosphere-fire simulations
;effects of large mammalian herbivores and lagomorphs on post-fire plant regeneration in mediterranean-type ecosystems
;effects of moisture on ignition behavior of moist california chaparral and utah leaves
;effects of wind and tree density on forest fire patterns in a mixed-tree species forest
;efficacy of communication techniques and health outcomes of bushfire smoke exposure: a scoping review
;efficacy of remote sensing in early forest fire detection: a thermal sensor comparison
;efficient cloud-based calibration of input data for forest fire spread prediction
;efficient forest fire occurrence prediction for developing countries using two weather parameters
;efficient simulation of wildfire spread on an irregular grid
;eighteen year record of forest fire effects on ground thermal regimes and permafrost in the central mackenzie valley, nwt, canada
;elaboration of a wild fire hazard model for the eparchy of pylias (sw-messinia, greece) based upon remote sensing and gis
;eleven-year variability in ecosystem functions and multifunctionality after a wildfire and post-fire management in pine forests of central eastern spain
;embedded ann-based forest fire prediction case study of algeria
1;empirical-based models for predicting head-fire rate of spread in australian fuel types
;emulation of wildland fire spread simulation using deep learning
;engineering of holonic multi agent intelligent forest fire monitoring system
;enhanced contextual forest fire detection with prediction interval analysis of surface temperature using vegetation amount
;enhanced forest fire susceptibility mapping by integrating feature selection genetic algorithm and bagging-based support vector machine with artificial neural networks
;enhanced interpolation with semi-supervised algorithm and greedy forwarding technique for forest fire prediction over wireless sensor and actuator networks
;enhanced yolov8 for forest fire detection: integrating slimneck-mca architecture and mpdiou loss function
;enhancing alaskan wildfire prediction and carbon flux estimation: a two-stage deep learning approach within a process-based model
;enhancing computational efficiency on forest fire forecasting by time-aware genetic algorithms
;enhancing emergency decision-making skills through game-based learning: a forest fire simulation exercise game
;enhancing forest fire susceptibility mapping in xichang city, china using dbscan-based non-fire point selection integrated with deep neural network
;enhancing forest fires classification using a hybrid convolutional and bilstm deep learning model
;enhancing multi-model forest fire spread prediction by exploiting multi-core parallelism
;enhancing the&nbsp-realism of&nbsp-wildfire simulation using composite b\'{e}zier curves
;enhancing wildfire spread modelling by building a gridded fuel moisture content product with machine learning
;ensemble framework by using nature inspired algorithms for the early-stage forest fire rescue-a case study of dynamic optimization problems
;ensemble modeling of cmes using the wsa-enlil+cone model
;environmental factors that influence wildfire protective-action recommendations
;epidemic forecasting is messier than weather forecasting: the role of human behavior and internet data streams in epidemic forecast
;erlangian approximations for the transient analysis of a fluid queue model for forest fire perimeter
;error function impact in dynamic data-driven framework applied to forest fire spread prediction
;establishing propagation nodes as a basis for preventing large wildfires: the proposed methodology
;estimating forest fire losses using stochastic approach: case study of the kroumiria mountains (northwestern tunisia)
;estimating population spread: what can we forecast and how well?
;estimating the spatial pattern of human-caused forest fires using a generalized linear mixed model with spatial autocorrelation in south korea
;estimating valley fever endemicity with environmental parameters
1;estimating wildfire behavior and effects
;estimation of fire severity by use of landsat tm images and its relevance to vegetation and topography in the 2000 samcheok forest fire
;estimation of forest fuel load from radar remote sensing
;estimation of the total amount of enhanced rainfall for a cloud seeding experiment: case studies of preventing forest fire, drought, and dust
;estimation of wildfire size and risk changes due to fuels treatments
;eu-integrated multifunctional forest and fire management, policies, and practices: challenges between as-is and to-be state
;evacuation behavior of affected individuals and households in response to the 2018 attica wildfires: from empirical data to models
1;evacuation decision-making and behavior in wildfires: past research, current challenges and a future research agenda
1;evacuation simulation under threat of wildfire-an overview of research, development, and knowledge gaps
;evaluating a model for predicting active crown fire rate of spread using wildfire observations
;evaluating an attempt to restore summer fire in the northern great plains
;evaluating australian forest fire rate of spread models using viirs satellite observations
1;evaluating benefits and costs of wildland fires: critical review and future applications
;evaluating parameterizations in general circulation models: climate simulation meets weather prediction
;evaluating public policies in fire-affected conservation priority areas of the brazilian pantanal
;evaluating the impact of recursive feature elimination on machine learning models for predicting forest fire-prone zones
;evaluating the performance of wrf in simulating winds and surface meteorology during a southern california wildfire event
;evaluating the role of fire over a decade in a tropical mountainous forest-grassland mosaic
;evaluation of an in-canopy wind and wind adjustment factor model for wildfire spread applications across scales
;evaluation of forecasts by accuracy and spread in the miklip decadal climate prediction system
;evaluation of forest fire danger indexes for eucalypt plantations in bahia, brazil
;evaluation of forest fire risk by the analysis of environmental data and tm images
;evaluation of gridded precipitation data and interpolation methods for forest fire danger rating in alberta, canada
;evaluation of medium-lift forest fire helicopter using q-rung orthopair fuzzy set based alternative ranking technique based on adaptive standardized intervals approach
;evaluation of reduced mechanism for modeling combustion of pyrolysis gas in wildland fire
;evaluation of the fire simulation processes of the national fire management system's initial attack analysis processor
;evidence for lack of a fuel effect on forest and shrubland fire rates of spread under elevated fire danger conditions: implications for modelling and management
;evidence for wildland fire smoke transport of microbes from terrestrial sources to the atmosphere and back
;evidence of smoke from wildland fire in surface water of an unburned watershed
;evolutionary adjustment of&nbsp-a&nbsp-cellular automata-based model for&nbsp-wildfire spreading
;evolutionary statistical system based on novelty search: a parallel metaheuristic for uncertainty reduction applied to wildfire spread prediction
;evolvegraph: multi-agent trajectory prediction with dynamic relational reasoning
;examining the influence of biophysical conditions on wildland-urban interface homeowners’ wildfire risk mitigation activities in fire-prone landscapes
1;expanding the horizons of wildfire risk management
;experience: quality assessment and improvement on a forest fire dataset
;experiences of a changing environment: strange beauty and normal change in the fire-adapted forests of victoria, australia
;experiences with wildfire are associated with private landowners’ management decisions, relationships, and perceptions of risk
;experimental analysis of robust forest fire detection for sustainability
;experimental and numerical study on data-driven prediction for wildfire spread incorporating adaptive observation error adjustment
;experimental forest fire research
;expertise in the management of bushfires: training and decision support
;explaining changes in perceived wildfire risk related to the mountain pine beetle outbreak in north central colorado
;exploiting drone images for forest fire detection using metaheuristics with deep learning model
1;exploration of geo-spatial data and machine learning algorithms for robust wildfire occurrence prediction
;exploring adoption of the wildland fire decision support system: end user perspectives
1;exploring directions for establishing forest fire containment lines through forest fire spread prediction simulations: a case study of 2022 uljin-samcheok wildfire
1;exploring progress in forest fire detection, prediction, and behavior: an in-depth survey
;exploring the ethnobiological practices of fire in three natural regions of ecuador, through the integration of traditional knowledge and scientific approaches
;exploring the impact of resident proximity to wildfires in the northern rocky mountains: perceptions of climate change risks, drought, and policy
;exploring the onset of high-impact mega-fires through a forest land management prism
;exploring the use of satellite earth observation active wildland fire hotspot data via open access web platforms
;exploring unmanned aerial systems operations in wildfire management: data types, processing algorithms and navigation
;extreme water quality degradation following a catastrophic forest fire
;facilitating public involvement in strategic planning for wildland fire management∗
1;facing the wildfire spread risk challenge: where are we now and where are we going?
;fake news detection using natural language processing and logistic regression
;fast forest fire smoke detection using mvmnet
;fast-moving dire wildfire evacuation simulation
;fastfuels: advancing wildland fire modeling with high-resolution 3d fuel data and data assimilation
;fault-tolerant time-varying elliptical formation control of multiple fixed-wing uavs for cooperative forest fire monitoring
;fdpa internet of things system for forest fire detection, prediction and behaviour analysis
;features of turbulence during wildland fires in forested and grassland environments
;federal forest-fire policy in the united states
;fiery trails: tourism's forest fire dance
1;fifty years of progress in wildland fire modelling: from empirical to fully physical cfd models
1;fifty years of wildland fire science in canada
;fighting against forest fire: a lightweight real-time detection approach for forest fire based on synthetic images
;fire and soils: key concepts and recent advances
;fire at the wildland interface: the influence of experience and mass media on public knowledge, attitudes, and behavioral intentions
;fire behavior in masticated fuels: a review
;fire behaviour and smoke modelling: model improvement and measurement needs for next-generation smoke research and forecasting systems
;fire behaviour, suppression and lessons from the berwick forest fire of 26 february 1995
;fire branding: why do new residents make a burn scar their home?
1;fire danger and fire behavior modeling systems in australia, europe, and north america
1;fire detection using hsv color picker: a review
1;fire detection with deep learning: a comprehensive review
;fire fighters exposed to electrical hazards during wildland fire operations
;fire fundamentals
;fire in south american wetlands
;fire in temperate forests and shrublands
;fire in the cerrado
;fire intensity and spread forecast (fira): a machine learning based fire spread prediction model for air quality forecasting application
;fire intensity, fire severity and burn severity: a brief review and suggested usage
;fire modeling and information system technology
;fire rate of spread and growth rate in a set of 30 global wildfires: new evidence of extreme fire behavior
;fire regime attributes shape pre-fire vegetation characteristics controlling extreme fire behavior under different bioregions in spain
;fire regimes of the southern appalachians may radically shift under climate change
;fire severity as a determinant of the socioeconomic impact of wildfires
;fire spread modeling using probabilistic cellular automata
;fire spread prediction using a lagged weather forecast ensemble
;fire susceptibility assessment in the carpathians using an interpretable framework
;fire whirls
;fire-aware planning of aerial trajectories and ignitions
;fire-driven disruptions of global soil biochemical relationships
;fire-net: a deep learning framework for active forest fire detection
;fire-ppyoloe: an efficient forest fire detector for real-time wild forest fire monitoring
;firebrands and spotting ignition in large-scale fires
;firecast zigzag convolutional network for wildfire prediction
;firecast: leveraging deep learning to predict wildfire spread
;firedst: fire impact and risk evaluation decision support tool-model description
;firefighting drone configuration and scheduling for wildfire based on loss estimation and minimization
;firefighting multi strategy marine predators algorithm for the early-stage forest fire rescue problem
;firepred: a hybrid multi-temporal convolutional neural network model for wildfire spread prediction
;firesight: utilizing deep learning for wildfire prediction and determining escape routes
;firevitnet: a hybrid model integrating vit and cnns for forest fire segmentation
;firewise activities of full-time versus seasonal residents in the wildland-urban interface
;fitness for wildland fire fighters
;flammability and the heat of combustion of natural fuels: a review
;forecast of wildfire potential across california usa using a transformer
;forecasting and surveillance of covid-19 spread using google trends: literature review
;forecasting hourly wildfire risk: enhancing fire danger assessment using numerical weather prediction
;forecasting species ranges by statistical estimation of ecological niches and spatial population dynamics
;forecasting the spread of covid-19 in kuwait using compartmental and logistic regression models
;forest disaster detection method based on ensemble spatial-spectral genetic algorithm
;forest fire alert system: a geo web gis prioritization model considering land susceptibility and hotspots-a case study in the carajas national forest, brazilian amazon
;forest fire alert system: a geo web gis prioritization model considering land susceptibility and hotspots-a case study in the carajás national forest, brazilian amazon
;forest fire analysis with remote sensing data
;forest fire and climate change in western north america: insights from sediment charcoal records
;forest fire and smoke detection for effective disaster resilience
;forest fire and the natural soil erosion regime in the colorado front range
;forest fire as a shared intergenerational experience: perceived short-term impacts on the grandparent-grandchild relationship
;forest fire consequences under the influence of changing climate: a systematic review with bibliometric analysis in the context of sustainable development goals
;forest fire control and use
;forest fire control in western australia
;forest fire detection
;forest fire detection algorithm based on detnet-fpn feature fusion network
;forest fire detection and prediction using hsv and mlp
;forest fire detection on landsat images using support vector machine
;forest fire detection system using iot and artificial neural network
;forest fire detection using a rule-based image processing algorithm and temporal variation
;forest fire detection using spiking neural networks
;forest fire detection utilizing ghost swin transformer with attention and auxiliary geometric loss
;forest fire dynamics in nepal: regional trends and socio-ecological drivers
;forest fire dynamics in sonic organisation
;forest fire effects on groundwater in a coastal aquifer (ravenna, italy)
;forest fire effects on soil color and texture
;forest fire effects on soil phyllosilicates in california
;forest fire effects on water resources
;forest fire emergency rescue and evacuation path planning based on improved apf
1;forest fire forecasting using ensemble learning approaches
;forest fire fuel through the lens of remote sensing: review of approaches, challenges and future directions in the remote sensing of biotic determinants of fire behaviour
;forest fire history in norway: from fire-disturbed pine forests to fire-free spruce forests
;forest fire history in viena karelia, russia
;forest fire in china
;forest fire in india: a review of the knowledge base
;forest fire in the central himalaya: an extent, direction and spread using irs liss-i data
;forest fire induces short-term shifts in soil food webs with consequences for carbon cycling
;forest fire inventory dataset for peninsular malaysia (2001-2023) generated using a framework with google earth engine and multi-source remote sensing data
;forest fire localization: from reinforcement learning exploration to a dynamic drone control
1;forest fire management and fire suppression strategies: a systematic literature review
;forest fire management policy
1;forest fire management using machine learning techniques
1;forest fire management, funding dynamics, and research in the burning frontier: a comprehensive review
;forest fire modeling and analysis based on k-means clustering algorithm and time series forecasting
;forest fire modelling using cellular automata: application to the watershed oued laou (morocco)
;forest fire models on configuration random graphs
;forest fire monitoring system supported by unmanned aerial vehicles and edge computing: a performance evaluation using petri nets
;forest fire monitoring using spatial-statistical and geo-spatial analysis of factors determining forest fire in margalla hills, islamabad, pakistan
;forest fire prediction and prevention in the brazilian amazon
;forest fire prevention part i: prediction and web-based analysis
;forest fire prevention, detection, and fighting based on fuzzy logic and wireless sensor networks
;forest fire probability zonation using dnbr and machine learning models: a case study at the similipal biosphere reserve&#xa0-(sbr), odisha, india
1;forest fire propagation
;forest fire propagation prediction based on overlapping dddas forecasts
;forest fire regimes and plant diversity in tropical dry deciduous forests of central india
;forest fire regimes in the northwestern himalayas: unravelling microlevel impact of topography, weather, and human activity on fire behaviour
;forest fire rescue framework to jointly optimize firefighting force configuration and facility layout: a case study of digital-twin simulation optimization: forest fire rescue framework
1;forest fire research
1;forest fire research: the latest advances tools for understanding and managing wildland fire
;forest fire resource planning with integer programming: an application in turkey
;forest fire risk analysis
;forest fire risk assessment combining remote sensing and meteorological information
;forest fire risk assessment using gis science-a case study of south india
;forest fire risk assessment: an illustrative example from ontario, canada
;forest fire risk management and public participation in changing socioenvironmental conditions: a case study in a mediterranean region
;forest fire risk management at the country scale: the case of turkey
;forest fire risk mapping of northeastern part of alberta using satellite imagery and gis
;forest fire risk mapping using gis and remote sensing in two major landscapes of nepal
;forest fire risk maps: a gis open source application-a case study in norwest of portugal
;forest fire risk modeling in mediterranean forests using gis and ahp method: case of the high rif forest massif (morocco)
;forest fire risk modeling in uttarakhand himalaya using terra satellite datasets
;forest fire size amplifies postfire land surface warming
;forest fire smoke as a threat to the health of river dolphins
;forest fire spread model based on the grey system theory
1;forest fire spread models: the local quasi-equilibrium approach
;forest fire spread prediction using deep learning
;forest fire spread simulating model using cellular automaton with extreme learning machine
;forest fire spread simulation and fire extinguishing visualization research
;forest fire spreading: a nonlinear stochastic model continuous in space and time
;forest fire susceptibility assessment using google earth engine in gangwon-do, republic of korea
;forest fire susceptibility mapping by integrating remote sensing and machine learning algorithms
;forest fire susceptibility mapping of west sikkim district, india using mcda techniques
;forest fire susceptibility modeling using hybrid approaches
;forest fire susceptibility prediction using machine learning models with resampling algorithms, northern part of eastern ghat mountain range (india)
;forest fire video detection based on multi-scale feature fusion with data enhancement
;forest fire weather research in western australia
;forest fire, bank strength and channel instability: the ‘unusual’ response of fishtrap creek, british columbia
;forest fire, thinning, and flood in wildland-urban interface: uav and lidar-based estimate of natural disaster impacts
;forest fire-fighting in british columbia's centennial summer
;forest fires and other examples of self-organized criticality
;forest fires in cool-temperate and humid-continental forests-an overview
;forest fires in volga federal district of the russian federation (2000-2020 years)
;forest fuel management for wildfire prevention in spain: a quantitative swot analysis
;forest landowner values and perspectives of prescribed fire in the northeast/mid-atlantic region of the united states
;forest management under uncertainty: the influence of management versus climate change and wildfire in the lake tahoe basin, usa
;forest soil disturbance: implications of factors contributing to the wildland fire nexus
;forest-fire as a model for the dynamics of disease epidemics
1;forest-fire models
;forest-fire regimes affect thermoregulatory opportunities for terrestrial ectotherms
;forest-fire-induced land degradation
;forests, fire and vegetation change impacts on murray-darling basin water resources
;fractional forest cover changes in northeast china from 1982 to 2011 and its relationship with climatic variations
;frequent burning and limited stand-replacing fire supports mexican spotted owl pair occupancy
;fri: a firefighter risk index using spatiotemporal modelling of wildfire spread and individual travel
;from convolution to attention: transformer-based modeling for multi-day wildfire spread forecasting
;from fire to recovery: temporal-shift of predator-prey interactions among mammals in mediterranean ecosystems
;from smoke to fire: a forest fire early warning and risk assessment model fusing multimodal data
;from spatial data warehouse into nosql document-oriented database: case study forest fire risk management
;fruiting body development of a root pathogenic fungus, rhizina undulata, after forest fire in eastern coastal pine forests of korea
;fuel build-up promotes an increase in fire severity of reburned areas in fire-prone ecosystems of the western mediterranean basin
;fuel drivers of fire behaviour in coastal mallee shrublands
;fuel modelling in terrestrial ecosystems: an overview in the context of the development of an object-orientated database for wild fire analysis
;fueling the fires-an exploration of the drivers and the scope for management of european wildfire risk under the shared socioeconomic pathways
;fuels and fire behavior dynamics in bark beetle-attacked forests in western north america and implications for fire management
;fusion of physics-based wildfire spread models with satellite data using generative algorithms
;future fire events are likely to be worse than climate projections indicate-these are some of the reasons why
;future iot tools for covid-19 contact tracing and prediction: a review of the state-of-the-science
;future options for fire behaviour modelling amd fire danger rating in new zealand
;future projections of siberian wildfire and aerosol emissions
;fuzzy based unequal clustering and context-aware routing based on glow-worm swarm optimization in wireless sensor networks: forest fire detection
;garden design can reduce wildfire risk and drive more sustainable co-existence with wildfire
;general mathematical model for forest fires and its applications
;generalized approach to landscape-wide seasonal forecasting with temperature-driven simulation models
1;generation and evaluation of ensemble simulations of wildfire spread for probabilistic forecast
1;generative ai as a pillar for predicting 2d and 3d wildfire spread: beyond physics-based models and traditional deep learning
1;generative algorithms for fusion of physics-based wildfire spread models with satellite data for initializing wildfire forecasts
;generative algorithms for wildfire progression reconstruction from multi-modal satellite active fire measurements and terrain height
;geo-information for disaster management
;geo-referenced image data assimilation for wildfire spread simulation
;geographic analysis of the impacts of mountain pine beetle infestation on forest fire ignition
;geospatial wildfire risk assessment from social, infrastructural and environmental perspectives: a case study in queensland australia
;geostatistical modeling of wildfire occurrence probability: the case study of monte catillo natural reserve in italy
;geovisualization and analysis of landscape-level wildfire behavior using repeat pass airborne thermal infrared imagery
1;getting ahead of the wildfire problem: quantifying and mapping management challenges and opportunities
;gis and machine learning for analysing influencing factors of bushfires using 40-year spatio-temporal bushfire data
1;gis and modeling in forest fire prevention
;gis modeling approach for forest fire risk assessment and management
1;gis, ai, and environmental data in fire susceptibility mapping: a survey
;gis-based forest fire risk mapping using the analytical network process and fuzzy logic
;gis-based forest fire risk zonation mapping of kirtinagar block of garhwal himalaya, uttarakhand, india
;gis-based forest fire susceptibility mapping in iran: a comparison between evidential belief function and binary logistic regression models
;gis-based forest fire susceptibility modeling in pauri garhwal, india: a comparative assessment of frequency ratio, analytic hierarchy process and fuzzy modeling techniques
;global change induced biomass growth offsets carbon released via increased forest fire and respiration of the central canadian boreal forest
;global fire emissions linked to madden-julian oscillation
;global fire season types and their characteristics based on modis burned area data
;global pyrogeography: the current and future distribution of wildfire
;global sensitivity analysis of fuel-type-dependent input variables of a simplified physical fire spread model
1;global synthesis of quantification of fire behaviour characteristics in forests and shrublands: recent progress
;global wildland fire emissions from 1960 to 2000
;global wildland fire season severity in the 21st century
;goal orientation in music composition and other social behaviors leading to the common quantitative law
;goat grazing as a wildfire prevention tool: a basic review
;gradient modeling: a new approach to fire modeling and wilderness resource management
;graph-based semi-supervised classification for similar wildfire dynamics
;graph-based spatial-temporal convolutional network for vehicle trajectory prediction in autonomous driving
;green firebreaks: potential to proactively complement wildfire management
;greenhouse gas emission in the whole process of forest fire including rescue: a case of forest fire in beibei district of chongqing
;ground surface displacement after a forest fire near mayya, eastern siberia, using insar: observation and implication for geophysical modeling
;guidance on spatial wildland fire analysis: models, tools, and techniques
;guiding principles for transdisciplinary and transformative&#xa0-fire research
;half-duplex dynamic data driven application system for forest fire spread prediction
;handbook of railway vehicle dynamics
1;handling back fire in forest fire spread modelling
;hazard curve evaluation method development for a forest fire as an external hazard on nuclear power plants
;health effects of wildfire smoke exposure
;heuristic forest fire detection using the deep learning model with optimized cluster head selection technique
;high-fidelity multi-rotor unmanned aircraft system (uas) simulation development for trajectory prediction under off-nominal flight dynamics
;high-resolution rapid refresh model data analytics derived on the open science grid to assist wildland fire weather assessment
;higher severity fire increases the long-term competitiveness of pyrophytes in an upland oak-pine forest, kentucky, usa
;historical trajectories and current perspectives on sub-saharan wildland fire science and management in select scientific literature
;homeowners willingness to pay to reduce wildfire risk in wildland urban interface areas: implications for targeting financial incentives
;how forest fires kill trees: a review of the fundamental biophysical processes
1;how risk management can prevent future wildfire disasters in the wildland-urban interface
;human-caused fire occurrence modelling in perspective: a review
;hybrid models based on deep learning neural network and optimization algorithms for the spatial prediction of tropical forest fire susceptibility in nghe an province, vietnam
;hydrologic recovery after wildfire: a framework of approaches, metrics, criteria, trajectories, and timescales
;hydrologic remote sensing and land surface data assimilation
;hydrological impact of forest-fire from paired-catchment and rainfall-runoff modelling perspectives
;hydrological resilience to forest fire in the subarctic canadian shield
;hyperspectral remote sensing of forest fire breakouts: a review
;ic-gan: an improved conditional generative adversarial network for rgb-to-ir image translation with applications to forest fire monitoring
;identification of forest fire points under clear sky conditions with himawari-8 satellite data
;identification of forest fire-prone region in lamington national park using gis-based multicriteria technique: validation using field and sentinel-2-based observations
;identifying hotspots for plant invasions and forecasting focal points of further spread
;identifying optimal launch sites of high-altitude latex-balloons using bayesian optimisation for the task of station-keeping
;image to attribute model for trees (itam-t): individual tree detection and classification in alberta boreal forest for wildland fire fuel characterization
;impact of bushfires on seabird breeding islands in southwest australia: a case study for developing a community-based model in adaptive management
;impact of fire-burn on soil geochemical, microbial biomass and carbon stocks in a dry tropical forest ecosystem
;impact of forest fire frequency on tree diversity and species regeneration in tropical dry deciduous forest of panna tiger reserve, madhya pradesh, india
;impact of haze from forest fire to respiratory health: indonesian experience
;impact of lightning-induced wildfires on power system based on satellite data and climatological projections
;impact of post-anthropogenic forest fire on soil carbon dynamics and physicochemical properties in tropical dry deciduous sulia reserve forest, odisha
;impact of the arctic oscillation pattern on interannual forest fire variability in central siberia
;impact of the el niño on fire dynamics on the african continent
;impact of topography and combustion functions on fire front propagation in an advection-diffusion-reaction model for wildfires
;impact of wildfire on permafrost landscapes: a review of recent advances and future prospects
;impact of&nbsp-mixed-precision: a way to&nbsp-accelerate data-driven forest fire spread systems
;impacts of changing fire weather conditions on reconstructed trends in u.s. wildland fire activity from 1979 to 2014
;impacts of climate change on the fate of contaminants through extreme weather events
;impacts of estimated plume rise on pm2.5 exceedance prediction during extreme wildfire events: a comparison of three schemes (briggs, freitas, and sofiev)
;impacts of fire and climate change on long-term nitrogen availability and forest productivity in the new jersey pine barrens
;impacts of fire-fighting chemicals on native fauna and ecosystems in australia: identification of key knowledge gaps and research priorities
;impacts of wildfire smoke aerosols on radiation, clouds, precipitation, climate, and air quality
;implementation of spatially-varying wind adjustment factor for wildfire simulations
;implications of changing climate for global wildland fire
;improved fire safety in the wildland-urban interface through smart technologies
;improved formula for the drought factor in mcarthur's forest fire danger meter
;improving fire behaviour data obtained from wildfires
;improving the reliability and utility of operational bushfire behaviour predictions in australian vegetation
;improving wildfire resilience of road networks through generative models
;improving wildfire simulation accuracy using satellite active fire data for interval reinitialization and rate of spread adjustment
;improving wildland fire spread prediction using deep u-nets
